run_id,work_order_id,machine_id,operator_id,start_time,end_time
50,266,15,2,2024-03-12 09:00:00,2024-03-12 14:35:14.460260
51,63,15,5,2024-02-29 16:00:00,2024-02-29 19:39:20.373945
52,287,20,11,2024-02-26 15:00:00,2024-02-26 20:04:30.117132
53,259,14,27,2024-03-11 13:00:00,2024-03-11 18:29:09.745858
54,244,15,9,2024-02-01 16:00:00,2024-02-01 18:23:11.604356
55,267,16,21,2024-01-31 10:00:00,2024-01-31 13:11:57.706679
56,147,8,9,2024-02-12 11:00:00,2024-02-12 16:27:54.482990
57,42,5,5,2024-01-30 12:00:00,2024-01-30 16:28:11.096621
58,110,3,14,2024-02-22 11:00:00,2024-02-22 14:42:47.000529
59,213,2,7,2024-02-23 12:00:00,2024-02-23 17:31:27.092610
60,300,1,28,2024-03-14 12:00:00,2024-03-14 15:23:05.635186
61,181,10,25,2024-02-19 12:00:00,2024-02-19 15:41:27.970217
62,280,20,29,2024-01-29 13:00:00,2024-01-29 15:05:49.589423
63,224,16,1,2024-02-19 11:00:00,2024-02-19 15:20:39.725171
64,208,6,27,2024-02-29 08:00:00,2024-02-29 13:54:12.995595
65,274,1,30,2024-02-20 15:00:00,2024-02-20 18:49:19.055694
66,14,3,21,2024-02-24 08:00:00,2024-02-24 13:20:03.324401
67,94,2,9,2024-02-18 11:00:00,2024-02-18 13:03:29.885116
68,168,11,25,2024-02-18 10:00:00,2024-02-18 14:45:36.176824
69,216,9,27,2024-01-11 13:00:00,2024-01-11 14:05:48.899167
70,277,2,12,2024-01-29 16:00:00,2024-01-29 17:20:35.130668
71,21,1,8,2024-01-26 06:00:00,2024-01-26 10:06:24.041819
72,123,5,16,2024-03-26 07:00:00,2024-03-26 10:49:11.452475
73,112,15,23,2024-02-02 18:00:00,2024-02-02 20:50:40.113138
74,59,6,10,2024-01-14 15:00:00,2024-01-14 16:07:42.211659
75,160,19,22,2024-02-18 12:00:00,2024-02-18 17:42:26.470774
76,102,3,19,2024-03-29 16:00:00,2024-03-29 18:12:51.288850
77,155,20,26,2024-01-16 18:00:00,2024-01-16 23:55:09.198327
78,22,12,18,2024-02-24 16:00:00,2024-02-24 18:51:10.275772
79,260,11,1,2024-02-23 13:00:00,2024-02-23 14:31:39.699672
80,186,15,23,2024-01-20 12:00:00,2024-01-20 13:52:50.465300
81,268,9,20,2024-03-09 18:00:00,2024-03-09 21:25:02.955070
82,224,19,9,2024-02-11 09:00:00,2024-02-11 14:09:13.158340
83,45,9,29,2024-02-27 09:00:00,2024-02-27 13:45:08.573073
84,292,20,22,2024-02-18 11:00:00,2024-02-18 12:08:36.599960
85,167,6,16,2024-01-28 11:00:00,2024-01-28 15:59:20.982423
86,175,9,29,2024-03-17 17:00:00,2024-03-17 22:24:01.932215
87,285,1,17,2024-01-25 07:00:00,2024-01-25 09:12:24.408907
88,209,16,18,2024-01-31 17:00:00,2024-01-31 20:22:49.675994
89,252,15,26,2024-01-03 07:00:00,2024-01-03 09:28:16.240464
90,208,8,10,2024-03-25 15:00:00,2024-03-25 17:50:42.368112
91,284,17,12,2024-02-24 17:00:00,2024-02-24 20:45:06.992510
92,181,15,9,2024-02-09 10:00:00,2024-02-09 12:09:09.684743
93,99,11,4,2024-03-09 18:00:00,2024-03-09 22:27:02.943975
94,99,7,24,2024-03-02 10:00:00,2024-03-02 14:37:22.530020
95,269,20,10,2024-01-13 09:00:00,2024-01-13 11:28:52.436339
96,185,6,10,2024-01-02 17:00:00,2024-01-02 20:40:14.431607
97,141,2,2,2024-03-11 10:00:00,2024-03-11 14:29:13.513072
98,65,16,4,2024-01-02 15:00:00,2024-01-02 17:25:18.107888
99,246,15,11,2024-01-24 06:00:00,2024-01-24 08:15:44.611029
100,245,4,27,2024-01-09 12:00:00,2024-01-09 15:27:31.438085
101,296,2,5,2024-01-20 18:00:00,2024-01-20 21:48:51.112748
102,156,3,8,2024-01-16 14:00:00,2024-01-16 18:49:19.982016
103,116,17,13,2024-02-27 13:00:00,2024-02-27 15:29:12.356385
104,220,10,19,2024-03-20 06:00:00,2024-03-20 10:02:53.356420
105,51,7,21,2024-01-28 10:00:00,2024-01-28 14:18:07.706469
106,81,8,6,2024-03-11 07:00:00,2024-03-11 08:46:57.587078
107,210,15,23,2024-03-17 13:00:00,2024-03-17 15:27:22.667203
108,119,10,23,2024-02-06 17:00:00,2024-02-06 22:17:52.921164
109,37,8,30,2024-02-03 18:00:00,2024-02-03 22:57:22.459411
110,102,14,4,2024-03-10 09:00:00,2024-03-10 13:14:17.425021
111,137,5,3,2024-01-08 08:00:00,2024-01-08 12:57:47.314192
112,292,10,15,2024-01-16 13:00:00,2024-01-16 17:26:36.203842
113,207,9,17,2024-03-10 13:00:00,2024-03-10 16:11:19.659544
114,21,14,24,2024-02-11 15:00:00,2024-02-11 17:15:06.622243
115,47,8,22,2024-03-14 15:00:00,2024-03-14 20:45:14.153001
116,138,19,2,2024-01-23 13:00:00,2024-01-23 16:35:41.349138
117,227,9,6,2024-03-15 12:00:00,2024-03-15 16:10:26.124950
118,252,3,16,2024-02-14 12:00:00,2024-02-14 14:39:59.551086
119,54,6,11,2024-02-22 17:00:00,2024-02-22 20:28:38.442377
120,206,18,2,2024-02-28 07:00:00,2024-02-28 09:34:21.308829
121,166,4,25,2024-02-21 14:00:00,2024-02-21 19:07:28.689659
122,1,18,15,2024-02-22 06:00:00,2024-02-22 07:56:16.485745
123,186,20,25,2024-03-04 16:00:00,2024-03-04 19:12:36.737203
124,27,7,9,2024-03-11 08:00:00,2024-03-11 13:38:18.109695
125,225,16,4,2024-01-04 16:00:00,2024-01-04 20:02:39.690007
126,123,6,10,2024-03-11 06:00:00,2024-03-11 09:45:40.525363
127,48,8,27,2024-01-15 13:00:00,2024-01-15 18:44:07.093362
128,79,16,30,2024-02-07 14:00:00,2024-02-07 18:31:37.409339
129,213,16,16,2024-02-01 13:00:00,2024-02-01 16:45:22.771384
130,197,7,30,2024-03-17 14:00:00,2024-03-17 18:43:53.265819
131,70,3,9,2024-02-23 11:00:00,2024-02-23 16:40:16.471086
132,260,9,27,2024-01-01 10:00:00,2024-01-01 14:37:48.917687
133,297,16,28,2024-01-20 13:00:00,2024-01-20 16:41:34.450399
134,177,11,18,2024-03-10 12:00:00,2024-03-10 15:16:36.203104
135,165,7,23,2024-01-31 15:00:00,2024-01-31 17:54:53.475281
136,211,2,11,2024-03-01 17:00:00,2024-03-01 22:34:01.743021
137,196,13,22,2024-03-24 08:00:00,2024-03-24 11:28:35.915693
138,19,5,17,2024-03-16 11:00:00,2024-03-16 16:20:54.605641
139,226,4,17,2024-02-28 06:00:00,2024-02-28 10:36:43.988896
140,210,5,3,2024-03-01 18:00:00,2024-03-01 23:50:45.665350
141,174,20,23,2024-02-20 16:00:00,2024-02-20 17:24:05.675770
142,169,18,13,2024-02-10 16:00:00,2024-02-10 20:35:36.913654
143,250,18,2,2024-03-20 07:00:00,2024-03-20 09:10:25.864376
144,148,8,24,2024-01-12 12:00:00,2024-01-12 17:53:30.079108
145,52,15,6,2024-03-29 10:00:00,2024-03-29 15:31:01.633117
146,24,11,26,2024-01-08 10:00:00,2024-01-08 12:47:32.340161
147,221,5,8,2024-03-08 12:00:00,2024-03-08 15:49:46.705114
148,93,6,6,2024-01-11 15:00:00,2024-01-11 20:21:15.112776
149,124,16,30,2024-03-15 08:00:00,2024-03-15 10:09:39.391997
150,131,15,9,2024-03-26 06:00:00,2024-03-26 11:29:40.353571
151,239,10,22,2024-03-10 08:00:00,2024-03-10 09:22:09.514205
152,177,19,10,2024-03-22 12:00:00,2024-03-22 16:27:05.643224
153,234,10,7,2024-02-19 13:00:00,2024-02-19 14:31:59.758814
154,196,19,12,2024-03-14 10:00:00,2024-03-14 15:57:48.456785
155,152,1,27,2024-03-25 12:00:00,2024-03-25 14:22:20.646843
156,290,2,30,2024-03-18 17:00:00,2024-03-18 20:29:01.091157
157,147,8,20,2024-02-15 09:00:00,2024-02-15 13:10:59.121804
158,129,5,21,2024-01-13 16:00:00,2024-01-13 20:13:54.130960
159,159,15,2,2024-03-15 11:00:00,2024-03-15 15:39:42.475823
160,47,10,11,2024-02-23 08:00:00,2024-02-23 10:00:14.306304
161,277,12,17,2024-03-05 10:00:00,2024-03-05 15:09:08.507152
162,132,16,26,2024-02-07 17:00:00,2024-02-07 22:21:07.145268
163,59,15,3,2024-01-19 18:00:00,2024-01-19 23:49:57.003770
164,204,18,12,2024-01-12 18:00:00,2024-01-12 20:58:22.342086
165,136,18,4,2024-02-28 11:00:00,2024-02-28 15:21:50.910874
166,135,19,13,2024-03-22 11:00:00,2024-03-22 12:32:30.229840
167,120,16,1,2024-03-20 14:00:00,2024-03-20 16:38:24.113073
168,114,3,21,2024-02-29 17:00:00,2024-02-29 19:30:39.423142
169,210,4,5,2024-01-06 06:00:00,2024-01-06 08:31:18.562518
170,253,4,4,2024-01-31 14:00:00,2024-01-31 15:40:41.952877
171,233,12,22,2024-03-30 14:00:00,2024-03-30 17:05:44.281561
172,80,14,21,2024-01-13 13:00:00,2024-01-13 17:04:41.739853
173,144,2,23,2024-02-17 09:00:00,2024-02-17 12:13:00.895549
174,121,12,4,2024-03-28 11:00:00,2024-03-28 14:43:20.385507
175,184,2,13,2024-02-05 09:00:00,2024-02-05 14:50:27.723767
176,233,3,22,2024-01-28 16:00:00,2024-01-28 20:11:50.872534
177,11,2,26,2024-02-12 09:00:00,2024-02-12 14:56:38.776271
178,290,7,3,2024-03-11 09:00:00,2024-03-11 12:55:54.895504
179,120,11,25,2024-01-19 18:00:00,2024-01-19 23:30:09.558641
180,2,9,28,2024-01-19 08:00:00,2024-01-19 11:42:03.878224
181,90,4,22,2024-01-04 08:00:00,2024-01-04 09:04:27.485890
182,122,19,11,2024-01-03 08:00:00,2024-01-03 10:19:36.615150
183,65,14,17,2024-01-15 17:00:00,2024-01-15 18:19:04.044687
184,230,12,17,2024-03-16 07:00:00,2024-03-16 10:15:36.097558
185,114,20,2,2024-03-25 14:00:00,2024-03-25 16:30:29.345923
186,16,2,16,2024-02-21 12:00:00,2024-02-21 16:25:49.754929
187,252,15,3,2024-01-11 11:00:00,2024-01-11 15:02:29.353625
188,34,5,9,2024-03-20 16:00:00,2024-03-20 19:55:36.564394
189,167,13,20,2024-03-08 10:00:00,2024-03-08 13:16:06.877516
190,221,4,26,2024-03-30 07:00:00,2024-03-30 12:15:50.269271
191,283,7,14,2024-02-27 09:00:00,2024-02-27 12:04:08.644281
192,233,13,14,2024-01-13 11:00:00,2024-01-13 14:08:01.752113
193,131,12,5,2024-03-28 13:00:00,2024-03-28 14:20:08.399546
194,44,3,14,2024-01-13 17:00:00,2024-01-13 21:41:38.327973
195,67,18,2,2024-03-16 14:00:00,2024-03-16 17:48:30.300868
196,63,14,12,2024-03-26 18:00:00,2024-03-26 21:06:52.863404
197,27,10,20,2024-02-09 11:00:00,2024-02-09 12:31:04.810187
198,260,7,5,2024-03-25 13:00:00,2024-03-25 15:07:16.407644
199,56,12,28,2024-03-12 11:00:00,2024-03-12 12:34:27.935644
200,143,19,8,2024-02-24 14:00:00,2024-02-24 19:52:21.838838
201,286,1,20,2024-03-25 17:00:00,2024-03-25 19:20:14.059053
202,93,9,23,2024-02-09 11:00:00,2024-02-09 13:45:18.421573
203,93,5,19,2024-03-25 12:00:00,2024-03-25 13:20:52.537582
204,16,3,24,2024-03-08 09:00:00,2024-03-08 11:52:51.499303
205,233,11,6,2024-02-17 10:00:00,2024-02-17 14:36:28.727419
206,291,20,3,2024-01-07 08:00:00,2024-01-07 09:47:13.378148
207,26,3,9,2024-02-26 16:00:00,2024-02-26 19:07:12.265916
208,227,14,9,2024-01-28 18:00:00,2024-01-28 21:33:42.233504
209,177,14,4,2024-02-06 16:00:00,2024-02-06 20:23:32.752586
210,250,17,22,2024-02-09 06:00:00,2024-02-09 08:06:09.331839
211,29,1,7,2024-02-08 09:00:00,2024-02-08 13:50:12.291492
212,131,10,11,2024-01-16 06:00:00,2024-01-16 09:29:12.935915
213,221,6,5,2024-02-18 14:00:00,2024-02-18 18:31:06.082741
214,257,18,27,2024-03-26 18:00:00,2024-03-26 20:46:15.009084
215,204,2,14,2024-01-03 13:00:00,2024-01-03 18:36:20.923821
216,161,19,14,2024-03-14 12:00:00,2024-03-14 16:32:50.981308
217,214,10,4,2024-02-21 06:00:00,2024-02-21 11:49:51.594439
218,88,20,15,2024-03-29 11:00:00,2024-03-29 12:26:26.337863
219,55,8,14,2024-03-16 12:00:00,2024-03-16 15:37:11.325774
220,203,10,24,2024-02-13 09:00:00,2024-02-13 11:39:55.235205
221,87,3,17,2024-03-22 07:00:00,2024-03-22 10:39:10.886774
222,100,12,12,2024-03-23 08:00:00,2024-03-23 10:10:52.839281
223,75,9,7,2024-01-23 15:00:00,2024-01-23 16:45:51.656202
224,39,6,25,2024-03-21 13:00:00,2024-03-21 16:19:11.155233
225,289,19,15,2024-03-28 15:00:00,2024-03-28 19:12:53.852952
226,166,11,5,2024-02-26 07:00:00,2024-02-26 10:20:40.579503
227,156,9,19,2024-01-08 11:00:00,2024-01-08 14:32:12.063935
228,159,15,15,2024-01-05 06:00:00,2024-01-05 08:50:37.276791
229,147,3,21,2024-01-12 15:00:00,2024-01-12 18:58:13.436735
230,197,15,19,2024-03-11 18:00:00,2024-03-11 22:41:40.578819
231,22,15,30,2024-03-14 16:00:00,2024-03-14 17:56:28.310371
232,244,17,5,2024-01-08 13:00:00,2024-01-08 14:31:03.033791
233,176,3,17,2024-03-23 08:00:00,2024-03-23 09:11:44.558272
234,225,15,17,2024-03-07 15:00:00,2024-03-07 16:47:37.431744
235,191,10,13,2024-02-22 18:00:00,2024-02-22 20:41:30.608643
236,27,11,3,2024-02-12 07:00:00,2024-02-12 10:47:23.337824
237,198,10,9,2024-03-25 15:00:00,2024-03-25 20:21:59.033917
238,171,3,19,2024-03-25 08:00:00,2024-03-25 13:35:01.436191
239,159,13,5,2024-03-17 17:00:00,2024-03-17 22:41:24.039592
240,159,18,13,2024-03-23 18:00:00,2024-03-23 20:38:32.577977
241,66,17,3,2024-03-23 16:00:00,2024-03-23 19:07:01.314594
242,186,1,12,2024-02-09 08:00:00,2024-02-09 13:45:21.047645
243,175,16,7,2024-01-29 08:00:00,2024-01-29 09:46:29.013113
244,152,4,17,2024-03-10 17:00:00,2024-03-10 22:25:06.278979
245,20,11,29,2024-03-20 08:00:00,2024-03-20 11:59:10.435939
246,79,6,6,2024-03-29 18:00:00,2024-03-29 22:07:25.328639
247,85,15,2,2024-02-22 11:00:00,2024-02-22 15:22:54.532599
248,122,15,20,2024-02-06 18:00:00,2024-02-06 22:44:33.657326
249,230,8,18,2024-01-31 10:00:00,2024-01-31 15:49:40.739469
250,241,7,12,2024-03-27 15:00:00,2024-03-27 20:55:19.916284
251,237,10,25,2024-02-18 14:00:00,2024-02-18 17:38:14.276192
252,83,7,26,2024-03-18 08:00:00,2024-03-18 13:21:54.034561
253,27,16,28,2024-02-17 14:00:00,2024-02-17 19:40:17.283972
254,265,4,10,2024-01-11 18:00:00,2024-01-11 19:48:05.622016
255,231,17,5,2024-02-25 07:00:00,2024-02-25 12:43:55.438734
256,114,15,29,2024-02-14 06:00:00,2024-02-14 09:04:28.144305
257,203,17,12,2024-01-31 12:00:00,2024-01-31 17:58:21.456322
258,192,8,1,2024-02-10 07:00:00,2024-02-10 12:11:45.173177
259,172,5,5,2024-01-05 10:00:00,2024-01-05 15:35:13.131089
260,242,5,25,2024-03-31 13:00:00,2024-03-31 16:14:34.826532
261,3,3,1,2024-02-02 09:00:00,2024-02-02 14:10:29.335787
262,281,20,17,2024-02-24 07:00:00,2024-02-24 11:52:51.107387
263,122,10,4,2024-01-07 09:00:00,2024-01-07 12:05:56.859788
264,235,3,4,2024-03-04 15:00:00,2024-03-04 18:40:48.968118
265,264,19,8,2024-01-19 10:00:00,2024-01-19 13:08:46.300076
266,181,8,19,2024-02-23 08:00:00,2024-02-23 12:19:18.683431
267,44,17,12,2024-01-09 14:00:00,2024-01-09 17:43:13.475279
268,260,18,1,2024-02-19 13:00:00,2024-02-19 14:13:03.619653
269,199,12,9,2024-01-03 11:00:00,2024-01-03 15:56:33.360293
270,177,8,24,2024-03-25 16:00:00,2024-03-25 17:31:05.949615
271,298,11,5,2024-01-06 11:00:00,2024-01-06 14:43:48.247414
272,90,15,23,2024-03-02 16:00:00,2024-03-02 17:54:41.003971
273,70,3,23,2024-02-28 06:00:00,2024-02-28 08:28:01.966281
274,23,7,29,2024-01-06 11:00:00,2024-01-06 16:40:00.677639
275,264,13,27,2024-03-10 13:00:00,2024-03-10 15:15:59.647774
276,98,10,12,2024-01-07 16:00:00,2024-01-07 18:39:34.644355
277,64,12,14,2024-02-21 17:00:00,2024-02-21 20:11:55.259407
278,198,11,6,2024-03-04 17:00:00,2024-03-04 20:29:15.421065
279,266,9,26,2024-01-11 17:00:00,2024-01-11 20:07:20.993904
280,221,20,27,2024-01-24 14:00:00,2024-01-24 16:28:07.795542
281,53,3,11,2024-03-25 10:00:00,2024-03-25 12:31:56.925410
282,219,6,23,2024-02-26 11:00:00,2024-02-26 14:14:08.333874
283,181,20,14,2024-02-05 16:00:00,2024-02-05 21:54:00.491025
284,30,3,22,2024-03-22 12:00:00,2024-03-22 14:48:59.600352
285,82,1,5,2024-03-18 16:00:00,2024-03-18 20:54:23.615455
286,18,5,3,2024-01-31 18:00:00,2024-01-31 22:13:32.931763
287,186,13,19,2024-01-05 15:00:00,2024-01-05 16:46:01.886941
288,231,12,12,2024-02-26 18:00:00,2024-02-26 19:23:03.937719
289,71,17,12,2024-02-20 11:00:00,2024-02-20 15:14:52.093261
290,128,4,1,2024-01-24 13:00:00,2024-01-24 16:35:19.414936
291,288,4,9,2024-02-03 17:00:00,2024-02-03 20:13:52.916023
292,147,16,7,2024-01-16 08:00:00,2024-01-16 13:15:50.873227
293,232,6,29,2024-02-26 07:00:00,2024-02-26 12:03:09.237930
294,164,12,23,2024-01-09 14:00:00,2024-01-09 17:42:39.084502
295,154,6,23,2024-03-31 17:00:00,2024-03-31 21:11:18.600406
296,186,17,8,2024-01-16 09:00:00,2024-01-16 13:57:37.182125
297,122,16,1,2024-02-16 14:00:00,2024-02-16 17:51:40.993328
298,240,18,5,2024-03-19 07:00:00,2024-03-19 08:19:43.465895
299,204,16,17,2024-02-22 18:00:00,2024-02-22 21:02:49.803494
300,295,3,5,2024-02-10 16:00:00,2024-02-10 17:22:14.970356
301,239,17,12,2024-01-17 18:00:00,2024-01-17 21:45:23.461985
302,94,5,14,2024-03-05 06:00:00,2024-03-05 11:09:25.034516
303,266,5,10,2024-01-22 08:00:00,2024-01-22 10:36:47.893521
304,116,12,17,2024-02-06 07:00:00,2024-02-06 09:15:10.895562
305,283,9,5,2024-03-21 10:00:00,2024-03-21 14:04:19.709010
306,48,17,21,2024-01-22 15:00:00,2024-01-22 20:42:28.925782
307,79,6,22,2024-03-20 17:00:00,2024-03-20 22:30:36.016086
308,173,19,2,2024-01-04 07:00:00,2024-01-04 08:13:38.312459
309,296,9,21,2024-01-27 18:00:00,2024-01-27 21:51:38.469644
310,16,16,29,2024-03-21 14:00:00,2024-03-21 16:26:54.089822
311,155,16,8,2024-03-28 12:00:00,2024-03-28 14:29:13.809686
312,38,2,6,2024-02-26 12:00:00,2024-02-26 15:25:16.520342
313,105,11,20,2024-01-19 11:00:00,2024-01-19 16:18:26.731383
314,164,12,13,2024-01-17 18:00:00,2024-01-17 20:51:09.723565
315,288,4,11,2024-01-31 13:00:00,2024-01-31 14:36:45.394364
316,231,8,5,2024-01-13 06:00:00,2024-01-13 08:27:03.816089
317,197,20,14,2024-02-01 08:00:00,2024-02-01 13:04:02.601236
318,296,11,7,2024-01-21 13:00:00,2024-01-21 18:58:47.449400
319,240,16,29,2024-02-09 13:00:00,2024-02-09 14:06:57.173368
320,202,17,15,2024-01-31 09:00:00,2024-01-31 12:55:00.194016
321,25,2,10,2024-03-04 15:00:00,2024-03-04 20:24:42.110575
322,241,10,18,2024-01-02 07:00:00,2024-01-02 10:09:16.699848
323,136,12,25,2024-02-21 11:00:00,2024-02-21 12:13:34.363101
324,27,19,18,2024-01-25 11:00:00,2024-01-25 14:45:58.012679
325,38,13,17,2024-02-27 18:00:00,2024-02-27 21:44:57.427611
326,61,5,4,2024-02-20 11:00:00,2024-02-20 15:58:28.150111
327,174,18,12,2024-01-19 09:00:00,2024-01-19 13:00:44.333121
328,206,17,2,2024-01-06 06:00:00,2024-01-06 07:41:06.654724
329,171,16,17,2024-02-28 08:00:00,2024-02-28 12:01:52.689403
330,264,5,11,2024-03-19 11:00:00,2024-03-19 12:48:45.036826
331,154,19,11,2024-03-05 14:00:00,2024-03-05 17:39:42.116938
332,289,10,16,2024-01-03 11:00:00,2024-01-03 13:39:22.312684
333,57,14,19,2024-02-09 18:00:00,2024-02-09 23:29:37.807875
334,14,20,16,2024-02-03 16:00:00,2024-02-03 20:54:52.271846
335,297,19,8,2024-01-07 15:00:00,2024-01-07 18:24:08.078107
336,269,20,25,2024-02-18 08:00:00,2024-02-18 13:06:29.903240
337,125,2,19,2024-03-30 07:00:00,2024-03-30 08:57:14.117901
338,226,11,14,2024-01-20 12:00:00,2024-01-20 16:27:09.004697
339,211,17,25,2024-03-19 13:00:00,2024-03-19 18:21:50.718760
340,32,5,17,2024-01-27 14:00:00,2024-01-27 16:37:30.891620
341,245,17,13,2024-02-10 08:00:00,2024-02-10 11:17:53.943576
342,273,11,18,2024-02-15 16:00:00,2024-02-15 20:51:35.816115
343,136,20,16,2024-01-25 09:00:00,2024-01-25 11:23:42.115127
344,153,8,10,2024-02-06 17:00:00,2024-02-06 19:02:11.000307
345,251,11,16,2024-02-14 14:00:00,2024-02-14 19:40:06.606746
346,141,10,4,2024-03-14 16:00:00,2024-03-14 19:42:57.435786
347,203,12,25,2024-01-19 10:00:00,2024-01-19 11:12:37.196763
348,41,12,30,2024-02-26 16:00:00,2024-02-26 18:16:55.991559
349,246,7,7,2024-03-09 10:00:00,2024-03-09 15:39:54.430808
350,140,5,4,2024-03-19 17:00:00,2024-03-19 20:56:02.948974
351,125,2,22,2024-03-08 09:00:00,2024-03-08 13:11:23.002321
352,27,4,14,2024-02-12 17:00:00,2024-02-12 20:21:43.270327
353,71,1,18,2024-01-21 12:00:00,2024-01-21 16:15:52.070359
354,244,16,21,2024-01-26 18:00:00,2024-01-26 23:49:10.452700
355,165,10,21,2024-01-08 18:00:00,2024-01-08 19:26:50.292969
356,294,8,18,2024-01-05 08:00:00,2024-01-05 11:05:21.929680
357,91,2,27,2024-02-20 18:00:00,2024-02-20 21:28:36.910152
358,149,2,1,2024-02-08 15:00:00,2024-02-08 19:00:50.093379
359,172,10,15,2024-03-23 14:00:00,2024-03-23 17:37:17.733627
360,69,17,15,2024-02-04 09:00:00,2024-02-04 14:02:38.649808
361,170,6,24,2024-02-28 16:00:00,2024-02-28 18:17:10.767844
362,96,1,24,2024-02-13 18:00:00,2024-02-13 20:28:30.436638
363,99,6,20,2024-03-22 12:00:00,2024-03-22 17:08:05.816855
364,264,11,3,2024-02-21 16:00:00,2024-02-21 17:28:36.931904
365,72,16,11,2024-02-01 06:00:00,2024-02-01 08:18:14.134987
366,121,15,25,2024-02-04 11:00:00,2024-02-04 13:30:35.025114
367,294,1,9,2024-03-24 11:00:00,2024-03-24 15:27:49.834628
368,32,4,15,2024-02-09 08:00:00,2024-02-09 11:01:37.499033
369,258,10,23,2024-01-16 16:00:00,2024-01-16 21:34:50.346945
370,152,12,20,2024-01-29 09:00:00,2024-01-29 14:47:12.489663
371,245,5,15,2024-03-18 11:00:00,2024-03-18 14:04:45.221078
372,282,16,25,2024-03-09 18:00:00,2024-03-09 22:19:13.699908
373,112,8,22,2024-03-17 18:00:00,2024-03-17 19:24:33.665517
374,229,17,23,2024-02-16 07:00:00,2024-02-16 12:35:10.404722
375,58,2,27,2024-03-11 14:00:00,2024-03-11 16:00:38.822021
376,275,5,6,2024-02-11 14:00:00,2024-02-11 17:12:33.129948
